import time: self [us] | cumulative | imported package
import time:       449 |        449 |         numpy.polynomial.laguerre
import time:       309 |       3345 |       numpy.polynomial
import time:       297 |        297 |         numpy.random.info
import time:      5044 |       5044 |         numpy.random.mtrand
import time:       459 |       5799 |       numpy.random
import time:       343 |        343 |       numpy.ctypeslib
import time:      1275 |       1275 |           textwrap
import time:      2607 |       3881 |         numpy.ma.core
import time:       722 |        722 |         numpy.ma.extras
import time:       377 |       4979 |       numpy.ma
import time:     21096 |     114224 |     numpy
import time:       327 |     114550 |   limix_plot.consensus
import time:       435 |        435 |         binascii
import time:       346 |        781 |       base64
import time:       252 |        252 |       email
import time:       844 |        844 |         http
import time:       449 |        449 |             email.errors
import time:       381 |        381 |                 email.quoprimime
import time:       185 |        185 |                 email.base64mime
import time:       234 |        234 |                     quopri
import time:       196 |        429 |                   email.encoders
import time:       248 |        677 |                 email.charset
import time:       809 |       2050 |               email.header
import time:       714 |        714 |                   _socket
import time:       460 |        460 |                     select
import time:       662 |       1122 |                   selectors
import time:      1248 |       3082 |                 socket
import time:       600 |        600 |                   calendar
import time:       302 |        902 |                 email._parseaddr
import time:       567 |       4550 |               email.utils
import time:       385 |       6984 |             email._policybase
import time:       651 |       8083 |           email.feedparser
import time:       375 |       8458 |         email.parser
import time:       710 |        710 |           uu
import time:       380 |        380 |           email._encoded_words
import time:       189 |        189 |           email.iterators
import time:       562 |       1840 |         email.message
import time:      1688 |       1688 |           _ssl
import time:      2095 |       3782 |         ssl
import time:      1006 |      15928 |       http.client
import time:       359 |        359 |         urllib.response
import time:       311 |        669 |       urllib.error
import time:      6163 |       6163 |       _scproxy
import time:      1602 |      25394 |     urllib.request
import time:       215 |      25609 |   limix_plot.dataset
import time:       142 |        142 |     limix_plot._plt
import time:       209 |        350 |   limix_plot.image
import time:       176 |        176 |   limix_plot.kinship
import time:       195 |        195 |   limix_plot.manhattan
import time:       260 |        260 |   limix_plot.misc
import time:       177 |        177 |   limix_plot.normal
import time:       152 |        152 |   limix_plot.pca
import time:       150 |        150 |   limix_plot.power
import time:       262 |        262 |   limix_plot.qqplot
import time:       148 |        148 |   limix_plot._testit
import time:       453 |     142728 | limix_plot
